,Features,Super Filter,Attribute Slicer,Autocomplete Filter,Beyondsoft Calendar,Calendar by Datanau,Calendar by MAQ Software,Calendar by Tallan,Calendar Chart For Power BI,Calendar Pro by OKViz,Chiclet Slicer,Counter Calendar,Custom Calendar,Custom Calendar by Akvelon,Custom Slicer,Data Slicer,Datepicker by Powerviz,Enlighten Slicer,Enlighten World Flag Slicer,Filter By List,Filter by Powerviz,Hierarchy Slicer,Mass Filter,Mass Slicer,Native List Slicer,Native New Slicer,Native Slicer,Play Anis,Power Slicer,Power Slicer 高级切片器,Preselecetd Slicer,Selection Slicer,SharewinfoPowerSlicer,Smart Filter Pro by OKVIZ,Tent Search Slicer,Tile Search Slicer,Tile Search Slicer.1,Timeline Basic,Timeline by Queryon,Timeline Slicer
89,Saved Filter,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,n,n,n,n
90,Search (with suggestion),y,y,y,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,y,y,y,n,y,y,y,n,n,y,y,y,n,y,y,y,y,n,n,n
91,Search with regen/wildcard/operator,y,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,y,y,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n
92,"Selection Style (Range style - square, ellipsis, individual circle)",y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
93,Show Blank as/Add value in empty string,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n
94,Show Detail,y,n,,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,n,n,n,,n,,n,n,,n,n,n,n
95,Single Child Display Options,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
96,Single select,y,n,,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,n,n,y,,n,,n,n,,n,n,n,y
97,Single/Multi-select,y,n,y,y,n,n,n,n,n,y,n,n,n,y,n,y,n,n,n,y,y,n,n,y,y,y,n,y,n,y,n,n,y,n,y,n,n,n,n
98,Slider (Dynamic selection),y,n,,n,n,n,n,n,n,n,,,n,n,n,n,y,n,n,,n,,,,,,,,,,,,,n,,,,,n
99,Slider Appearance Settings,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
100,Slider for Dates,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n
101,Slider for Number,y,n,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,n,n,n,,y,,n,n,n,,n,n,n,n,,n,n,n,n
102,Slider Scale,y,n,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,n,n,n,,n,,n,n,,n,n,n,n
103,Sorting,y,n,y,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
104,Sync Slicer,y,n,y,n,n,n,n,n,n,n,n,,n,n,y,y,n,n,y,y,y,n,y,y,y,y,n,,y,y,n,y,y,y,y,,,n,n
105,Tent Area,y,n,,n,n,n,n,n,n,n,,,n,n,y,n,n,n,y,,n,,,,,,,,,,,,y,n,,,,,n
106,Tent Slicer (focus),y,n,,n,n,n,n,n,n,n,,,n,n,y,n,n,n,n,,n,,,,,,,,,,,,,,,,,,
107,Theme/Templates,y,n,y,n,n,n,n,n,y,n,n,n,n,n,n,y,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
108,Time-zone Setting,n,n,,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,n,,,n,,n,n,n,n
109,Today Navigation in Calendar View,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
110,Toggle View Type,y,n,,n,n,,n,n,n,n,,,n,n,n,n,n,n,n,,y,,,,,,,,,,,,n,n,,,,,n
111,Tooltip,y,n,n,n,n,n,n,n,y,n,n,n,n,n,y,n,n,n,n,y,y,n,n,n,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n
112,Top N,y,n,,n,n,n,n,y,,n,n,n,n,,n,y,n,n,n,,n,,n,,,,,n,n,,n,,,n,,n,n,n,n
113,"Total Bar (Month, Week)",y,n,,n,n,n,n,n,,n,,,n,,n,n,n,n,n,,n,,,,,,,,,,,,,n,,,,,n
114,"Treemap (Lasso, Inclusive/enclusive, Tiling method, No Data)",y,n,,n,n,n,n,n,n,n,,,n,,n,n,n,n,n,,n,,,,,,,,,,,,y,n,,,,,n
115,UI - Enpand All/ Collapse All,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
116,Values (Numbers/Measures) Display,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y,y,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n
117,Variance,y,n,,n,n,n,y,y,y,n,,,n,,n,n,n,n,n,,n,,,,,,,,,,,,,n,,,,,n
118,Variance in calendar,y,n,,y,y,n,n,n,y,n,y,n,y,n,n,n,n,n,n,n,n,n,n,,,,n,n,y,,n,n,n,n,,n,n,n,n
119,Week,y,n,,y,y,y,n,n,y,n,n,y,y,n,n,n,n,n,n,n,n,n,n,,,,n,n,n,,n,,n,n,,n,n,n,y
120,Week modes,y,n,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,n,n,n,,n,,n,n,,n,n,n,n
121,Week Start Day,y,n,n,y,n,y,y,n,y,n,n,y,y,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,y
122,Weekend - Option to choose off days,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
123,Weekend Appearance Settings,y,n,n,n,n,y,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
124,Weekly total,y,n,,n,n,n,n,y,,n,y,,n,,n,n,n,n,n,,n,,,,,,,,,,,,,n,,,,,n
125,Word Splitting,n,n,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
126,Year,y,n,,y,n,y,n,y,y,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,n,n,n,,n,,n,n,,n,y,n,y
127,Zoom,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,y,n,n,n,n,n,n,n,n,n
